ASN,Name,RPKI,Total,%
AS17850,(사)전국은행연합회,0,21,0.0
AS9961,상호저축은행중앙회,0,21,0.0
AS9959,(주)한국거래소 서울사옥,0,20,0.0
AS23579,서울특별시교육청,0,20,0.0
AS18334,(주)딜라이브경기동부케이블티브이,0,20,0.0
AS38690,효성ITX,0,20,0.0
AS38389,페이머스워커,0,20,0.0
AS17833,엔컴주식회사,0,20,0.0
AS38418,한국부동산원,0,20,0.0
AS9970,한국기술교육대학교,0,19,0.0
AS23582,(주)두산 디지털이노베이션BU,0,19,0.0
AS18031,상명대학교,0,19,0.0
AS18034,국립강릉원주대학교,0,19,0.0
AS55589,한국생산기술연구원,0,19,0.0
AS10183,한국문화정보원,0,19,0.0
AS38113,고려대학교의료원,0,19,0.0
AS9867,전주비전대학교,0,18,0.0
AS9870,동의대학교,0,18,0.0
AS4669,주식회사 숲,0,18,0.0
AS9528,충청북도교육연구정보원,0,18,0.0
AS46012,인덕대학교,0,18,0.0
AS38678,주식회사 카카오,0,18,0.0
AS10088,광운대학교,0,18,0.0
AS9628,동양생명보험 (주),0,18,0.0
AS9532,미래에셋증권 주식회사,0,17,0.0
AS9705,SK(주),0,17,0.0
AS9693,(사단법인)금융결제원,0,17,0.0
AS10052,경북대학교정보화본부,0,17,0.0
AS10189,현대무벡스 주식회사,0,17,0.0
AS17853,(주)엘지유플러스,0,17,0.0
AS38422,서원대학교,0,17,0.0
AS38688,지에스네오텍(주),0,17,0.0
AS38105,순천향대학교,0,17,0.0
AS7620,토스뱅크 주식회사,0,17,0.0
AS152199,주식회사 카카오,0,17,0.0
AS152214,(주)대한항공,0,17,0.0
AS9849,대통령비서실,0,16,0.0
AS9270,한국지능정보사회진흥원,0,16,0.0
AS9274,부산대학교,0,16,0.0
AS38117,주식회사 진산케이블넷,0,16,0.0
AS3608,한국농어촌공사,0,16,0.0
AS45991,주식회사 카카오,0,16,0.0
AS38104,혜전대학교,0,16,0.0
AS23593,법무법인(유한) 태평양,0,16,0.0
AS24026,한국핵융합에너지연구원,0,16,0.0
AS9691,경성대학교,0,15,0.0
AS9844,두루안,0,15,0.0
AS9976,남인천방송(주),11,15,0.7333333333333333
AS3559,주식회사 케이티,0,15,0.0
AS55626,경인여자대학교,0,15,0.0
AS38108,주식회사 넥스이노,0,15,0.0
AS9755,한국인터넷진흥원,0,15,0.0
AS38118,라이엇게임즈코리아 유한회사,0,15,0.0
AS45376,에이치엘홀딩스 주식회사,0,15,0.0
AS4790,주식회사 조선일보사,0,14,0.0
AS9710,(주)네오위즈,0,14,0.0
AS9769,세종대학교,0,14,0.0
AS9962,순천대학교,0,14,0.0
AS10045,국립한밭대학교,0,14,0.0
AS17590,한국콘텐츠진흥원,0,14,0.0
AS9857,한국가스공사,0,14,0.0
AS18027,남서울대학교,0,14,0.0
AS23561,용인대학교,0,14,0.0
AS10176,대전광역시교육청,0,14,0.0
AS38088,한국동서발전,0,14,0.0
AS131093,비바리퍼블리카,0,14,0.0
AS9840,인스파이어인티그레이티리조트,0,14,0.0
AS9684,한화시스템(주),0,13,0.0
AS9778,대진대학교,0,13,0.0
AS9982,배재대학교,0,13,0.0
AS10196,(주)국민은행,0,13,0.0
AS17860,(주)웹젠,2,13,0.15384615384615385
AS17870,경희대학교국제캠퍼스,0,13,0.0
AS10044,농촌진흥청,0,13,0.0
AS9700,한국인터넷진흥원,0,13,0.0
AS9641,한국산업은행,0,13,0.0
AS18176,국민대학교,0,13,0.0
AS9776,(주)국민은행,0,13,0.0
AS55627,동덕여자대학교,0,13,0.0
AS23554,주식회사 신한은행,0,13,0.0
AS7561,삼성전자,0,13,0.0
AS38430,신한카드(주),0,13,0.0
AS9771,(주)미디어신나라,1,13,0.07692307692307693
AS131795,한국에너지기술연구원,0,13,0.0
AS9775,한남대학교,0,12,0.0
AS10071,안양대학교,0,12,0.0
AS17570,SK네트웍스(주),0,12,0.0
AS17838,주식회사 현대홈쇼핑,0,12,0.0
AS17865,법원행정처,0,12,0.0
AS17881,주식회사 아이네트호스팅,0,12,0.0
AS1781,한국과학기술원,0,12,0.0
AS18329,상명대학교,0,12,0.0
AS6068,(주) 엘지씨엔에스,0,12,0.0
AS38662,주식회사 제이엔디통신,0,12,0.0
AS18323,분당서울대학교병원,0,12,0.0
AS38110,청운대학교,0,12,0.0
AS38124,주식회사 아이엠데이터시스템,0,12,0.0
AS9639,주식회사 아티스트컴퍼니,0,12,0.0
AS38702,주식회사 하나은행,0,12,0.0
AS9695,한국과학기술정보연구원,5,12,0.4166666666666667
AS9456,주식회사 포스코,0,11,0.0
AS9843,(주)농협정보시스템,0,11,0.0
AS17852,한화생명보험(주),0,11,0.0
AS23556,이니텍(주),0,11,0.0
